,culture_score,ceo_score
Hilton,B,75
Salesforce,A+,90
"Wegmans Food Markets, Inc.",A+,86
Workday,A-,88
Kimpton Hotels & Restaurants,B,86
Cisco,B,76
Edward Jones,A,83
ULTIMATE SOFTWARE,A+,98
Texas Health Resources,A-,81
"The Boston Consulting Group, Inc.",A+,86
Stryker,A+,95
Publix Super Markets Inc.,A-,74
American Express,B-,76
Quicken Loans,A-,82
Orrick,NA,-1
Baird,A,84
"JM Family Enterprises, Inc.",B+,96
Kimley-Horn,A,73
Camden Property Trust,NA,-1
Cooley LLP,D+,73
Plante Moran,NA,-1
Adobe,A,86
Veterans United Home Loans,A+,90
Intuit Inc.,A,91
The Cheesecake Factory Incorporated,B,74
Deloitte,B,77
Pinnacle Financial Partners,A+,97
SAP America,B+,82
Navy Federal Credit Union,A+,83
USAA,A,82
"Marriott International, Inc.",B,77
Hyatt Hotels Corporation,A+,85
CarMax,B,67
Ernst & Young LLP,B,72
Southern Ohio Medical Center,C-,54
KPMG LLP,C+,70
"BayCare Health System, Inc.",D-,43
NVIDIA,A,88
Capital One Financial Corporation,B,81
Baptist Health South Florida,D+,57
David Weekley Homes,NA,-1
Dropbox,B-,74
Allianz Life Insurance Company of North America,NA,-1
PricewaterhouseCoopers LLP,B,72
Genentech,B-,68
"Recreational Equipment, Inc. (REI)",NA,-1
Protiviti,B,77
"Slalom, LLC.",B,83
"T-Mobile US, Inc.",A+,91
Red Hat,B+,85
Synchrony,B-,79
Ryan LLC,A+,91
Alston & Bird LLP,NA,-1
Encompass Health - Home Health & Hospice,D+,57
American Fidelity Assurance Company,A,77
"World Wide Technology, LLC",B,87
Nationwide,C-,70
St. Jude Children's Research Hospital,A-,82
Credit Acceptance Corporation,NA,-1
SAS Institute Inc.,A-,77
Accenture,B+,78
"The Goldman Sachs Group, Inc.",B,75
AbbVie,A+,79
HubSpot,A+,94
Oliver Wyman Group,A-,72
Bright Horizons Family Solutions,C+,66
CHG Healthcare,A,96
Crowe,C-,80
Zillow,A-,89
Atlassian,B+,85
Comcast NBCUniversal,B,74
Hyland,C,76
Cadence,C,68
Perkins Coie LLP,A-,87
"Regeneron Pharmaceuticals, Inc.",NA,-1
Progressive Insurance,A,85
Power Home Remodeling,A+,92
Kronos Incorporated,A,88
Children's Healthcare of Atlanta,D,61
Workiva Inc.,A+,81
"Nugget Market, Inc.",NA,-1
Burns & McDonnell,A,81
First American Financial Corporation,B-,81
Total Quality Logistics,B,78
"Sheetz, Inc.",A+,73
Custom Ink,B+,75
Atlantic Health System,B,74
Methodist Le Bonheur Healthcare,A-,83
Four Seasons Hotels & Resorts,B+,77
Novo Nordisk Inc.,B-,78
Farmers Insurance,C+,75
Bank of America,B,74
"Box, Inc.",A+,93
Alliance Data,B+,80
FedEx Corporation,B+,75
Activision Blizzard,B,88
"Delta Air Lines, Inc.",A,82
"Mars, Incorporated",A,75
OhioHealth,A,71
Patagonia,NA,-1
